Index,Station code,Station name,اسم المحطة,Metro line number,Station type code,Station type,نوع المحطة,Geographical coordinates,Comments,تعليقات,Stations Sequence,geo_point_2d
24,1B4,Al Wurud 2,الورود 2,1,4,Deep Underground,تحت الأرض على عمق كبير,"{""coordinates"": [46.67112888545265, 24.72172740595173], ""type"": ""Point""}",,,8,"24.72172740595173, 46.67112888545265"
21,1C1,Al Urubah,العروبة,1,4,Deep Underground,تحت الأرض على عمق كبير,"{""coordinates"": [46.67536633589778, 24.71321629407025], ""type"": ""Point""}",,,9,"24.71321629407025, 46.67536633589778"
65,1D2,Ministry of Interior,وزارة الداخلية,1,4,Deep Underground,تحت الأرض على عمق كبير,"{""coordinates"": [46.6950479643063, 24.67424257882058], ""type"": ""Point""}",,,13,"24.67424257882058, 46.6950479643063"
17,1D5,Al Muorabba,المربع,1,4,Deep Underground,تحت الأرض على عمق كبير,"{""coordinates"": [46.70244592563306, 24.66485076093648], ""type"": ""Point""}",,,14,"24.66485076093648, 46.70244592563306"
68,1F4/5A1,National Museum,المتحف الوطني,1,4,Deep Underground,تحت الأرض على عمق كبير,"{""coordinates"": [46.71416493164232, 24.64606261233078], ""type"": ""Point""}",,,16,"24.64606261233078, 46.71416493164232"
77,1F7/3E2,Qasr Al Hokm,قصر الحكم,1,4,Deep Underground,تحت الأرض على عمق كبير,"{""coordinates"": [46.71611888836972, 24.62858166288806], ""type"": ""Point""}",,,18,"24.62858166288806, 46.71611888836972"
19,1F8,Al Owd,العود,1,4,Deep Underground,تحت الأرض على عمق كبير,"{""coordinates"": [46.72101788739987, 24.62531899374494], ""type"": ""Point""}",,,19,"24.62531899374494, 46.72101788739987"
85,1F9,Skirinah,سكيرينة,1,1,Elevated,مرتفع,"{""coordinates"": [46.72540678332071, 24.61755176745255], ""type"": ""Point""}",,,20,"24.61755176745255, 46.72540678332071"
62,1G1,Manfouhah,منفوحة,1,1,Elevated,مرتفع,"{""coordinates"": [46.72751741880297, 24.61045736735081], ""type"": ""Point""}",,,21,"24.61045736735081, 46.72751741880297"
95,1H2,Transportation Center,مركز النقل العام,1,1,Elevated,مرتفع,"{""coordinates"": [46.74514116213327, 24.59798690948253], ""type"": ""Point""}",,,23,"24.59798690948253, 46.74514116213327"
2,1J2,Ad Dar Al Baida,الدار البيضاء,1,1,Elevated,مرتفع,"{""coordinates"": [46.77654712393894, 24.55958910448547], ""type"": ""Point""}",,,25,"24.55958910448547, 46.77654712393894"
87,1B3/2B2,stc,stc,2,4,Deep Underground,تحت الأرض على عمق كبير,"{""coordinates"": [46.66654513995131, 24.72655843698455], ""type"": ""Point""}",,,30,"24.72655843698455, 46.66654513995131"
23,2B4,Al Wurud,الورود,2,4,Deep Underground,تحت الأرض على عمق كبير,"{""coordinates"": [46.67749338636222, 24.73304010012863], ""type"": ""Point""}",,,31,"24.73304010012863, 46.67749338636222"
29,2C4,An Nuzhah,النزهة,2,2,At Grade,على مستوى الأرض,"{""coordinates"": [46.71311355644504, 24.74782156645681], ""type"": ""Point""}",,,34,"24.74782156645681, 46.71311355644504"
52,2D2,Khalid Bin Alwaleed Road,طريق خالد بن الوليد,2,3,Shallow Underground,تحت الأرض على عمق ضحل,"{""coordinates"": [46.75897415966957, 24.76705804271704], ""type"": ""Point""}",,,36,"24.76705804271704, 46.75897415966957"
37,2F1,Ishbiliyah,اشبيليا,2,2,At Grade,على مستوى الأرض,"{""coordinates"": [46.81106855810685, 24.79216004055396], ""type"": ""Point""}",,,39,"24.79216004055396, 46.81106855810685"
4,3B1,Ad Douh,الدوح,3,1,Elevated,مرتفع,"{""coordinates"": [46.58806971836369, 24.58293167966869], ""type"": ""Point""}",,,43,"24.58293167966869, 46.58806971836369"
5,3C2,Aishah bint Abi Bakr st.,شارع عائشة بنت ابي بكر,3,1,Elevated,مرتفع,"{""coordinates"": [46.64374907224175, 24.60052873723215], ""type"": ""Point""}",,,45,"24.60052873723215, 46.64374907224175"
39,3D3,Dhahrat Al Badiah,ظهره البديعة,3,1,Elevated,مرتفع,"{""coordinates"": [46.65497375326466, 24.6073754409049], ""type"": ""Point""}",,,46,"24.6073754409049, 46.65497375326466"
